Category (S),Title (S),ShortTitle (S),ProductID (S),Weight (N),Price (N),Discounted Price (N),Image (S),Description (S),Catalog Weight (S)
Category 5,C.N. 5.52 Light Mahogany,C.N. 5.52 Light Mahogany,3.06138E+12,147,0,,,,
Category 5,C.N. 6.25 ChestNut BRN,C.N. 6.25 ChestNut BRN,3.06138E+12,114,0,,,,
Category 5,Garnier Colour Naturals 7,Garnier Colour Naturals 7,3.60054E+12,149,0,,,,
Category 5,Garnier C.N. 6,Garnier C.N. 6,3.60054E+12,150,0,,,,
Category 5,Garnier C.N BRWNI Choco,Garnier C.N BRWNI Choco,3.60054E+12,148,0,,,,
Category 5,Garnier C.N Pak Light Opal 5.25,Garnier C.N Pak Light Opal 5.25,3.60054E+12,148,0,,,,
Category 5,Grbr Clr/Naturals G/Brown 4.3,Grbr Clr/Naturals G/Brown 4.3,3.60054E+12,149,0,,,,
Category 5,C.N Pak 51/2 Crmy Coffee,C.N Pak 51/2 Crmy Coffee,3.60054E+12,147,0,,,,
Category 5,Garnier C.N 5.15,Garnier C.N 5.15,3.61034E+12,146,0,,,,
Category 5,Garnier C.N 4.7,Garnier C.N 4.7,3.61034E+12,148,0,,,,
Category 5,Garnier C.N 6.7,Garnier C.N 6.7,3.61034E+12,149,0,,,,
Category 5,Garnier C.N 7.7,Garnier C.N 7.7,3.61034E+12,150,0,,,,
Category 5,Garnier C.N Lumins Blk 2,Garnier C.N Lumins Blk 2,3.61034E+12,149,0,,,,
Category 5,Garnier C.N TF Brnblk FAA3.3,Garnier C.N TF Brnblk FAA3.3,3.61034E+12,,0,,,,
Category 5,Garnier C.N Mocca AA6.3,Garnier C.N Mocca AA6.3,3.61034E+12,148,0,,,,
Category 5,Garnier C.N Ash Blnd 7.1,Garnier C.N Ash Blnd 7.1,3.61034E+12,148,0,,,,
Category 5,Garnier C.N Hazel Blnd 7.3,Garnier C.N Hazel Blnd 7.3,3.61034E+12,148,0,,,,
Category 5,Garnier C.N Drkshblnd 6.1,Garnier C.N Drkshblnd 6.1,3.61034E+12,148,0,,,,
Category 5,Garnier C.N Drk BRN 5.132,Garnier C.N Drk BRN 5.132,3.61034E+12,151,0,,,,
Category 5,Garnier C.N Med Brn 6.132,Garnier C.N Med Brn 6.132,3.61034E+12,152,0,,,,
Category 5,Garnier C.N N.LGHTBRN 7.132,Garnier C.N N.LGHTBRN 7.132,3.61034E+12,153,0,,,,
Category 5,Garnier 4.1 Frozen,Garnier 4.1 Frozen,3.61034E+12,150,0,,,,
Category 5,Garnier 5.1 Frozen BRN,Garnier 5.1 Frozen BRN,3.61034E+12,148,0,,,,
Category 5,Loreal Cndtnr CLR PRTCT 175 ML,Loreal Cndtnr CLR PRTCT 175 ML,3.61034E+12,200,0,,,,
Category 5,Loreal Cndtnr Nutri Glos 175 ML,Loreal Cndtnr Nutri Glos 175 ML,3.61034E+12,202,0,,,,
Category 5,Loreal Oil Cndtnr 6 175 ML,Loreal Oil Cndtnr 6 175 ML,3.61034E+12,202,0,,,,
Category 5,Loreal Cndtnr TTR 5 175 ML,Loreal Cndtnr TTR 5 175 ML,3.61034E+12,203,0,,,,
Category 5,Loreal Paris Fall Resist 3X Anti Hair Fall Conditioner 175 ml,Loreal Paris Fall Resist 3X Anti Hair Fall Conditioner 175 ml,3.61034E+12,201,0,,,,
Category 5,Loreal Shmp Nutri GLOS 175 ML,Loreal Shmp Nutri GLOS 175 ML,3.61034E+12,210,0,,,,
Category 5,Loreal Cndtnr Keratn Str 175 ML,Loreal Cndtnr Keratn Str 175 ML,3.61034E+12,201,0,,,,
Category 5,C.N. 7.11 Deep Ashy Blonf,C.N. 7.11 Deep Ashy Blonf,3.61034E+12,147,0,,,,
Category 5,Gatsby Wtr Glos SFT WHT 1500,Gatsby Wtr Glos SFT WHT 1500,4.90281E+12,191,0,,,,
Category 5,Gatsby H.CRM NRML 125G,Gatsby H.CRM NRML 125G,4.90281E+12,179,0,,,,
Category 5,Gatsby Wtr Glos HYPALS Red 150G,Gatsby Wtr Glos HYPALS Red 150G,4.90281E+12,192,0,,,,
Category 5,Pntne Shmp Anti H.F 200 ML,Pntne Shmp Anti H.F 200 ML,5.41008E+12,226,0,,,,
Category 5,H&S Shmp AHF 5ML X24,H&S Shmp AHF 5ML X24,5.41008E+12,140,0,,,,
Category 5,H&S SHMP SLKY BLK 5ML X24,H&S SHMP SLKY BLK 5ML X24,5.41008E+12,,0,,,,
Category 5,unknown,unknown,6103403,,0,,,,
Category 5,Pantene Anti H.F 80ML,Pantene Anti H.F 80ML,8.00109E+12,,0,,,,
Category 5,Pantene Shamp S&S 80ML,Pantene Shamp S&S 80ML,8.00109E+12,,0,,,,
Category 5,Pantene Milky XT 80ML,Pantene Milky XT 80ML,8.00109E+12,,0,,,,
Category 5,Pantene Shampoo Smooth & Strong 80 ml,Pantene Shampoo Smooth & Strong 80 ml,8.00109E+12,,0,,,,
Category 5,H&S SHAMP C/CLEAN 80ML,H&S SHAMP C/CLEAN 80ML,8.00109E+12,97,0,,,,
Category 5,H&S Anti H.F. 80 ML,H&S Anti H.F. 80 ML,8.00109E+12,97,0,,,,
Category 5,H&S SHAMP SLK/BLK 80ML,H&S SHAMP SLK/BLK 80ML,8.00109E+12,99,0,,,,
Category 5,Palmolive Shmp Anti H.F 180 ML,Palmolive Shmp Anti H.F 180 ML,8.85001E+12,,0,,,,
Category 5,Palmolive Shmp INT MST 180 ML,Palmolive Shmp INT MST 180 ML,8.85001E+12,,0,,,,
Category 5,Palmolive Shmp Brlnt Shine 180M,Palmolive Shmp Brlnt Shine 180M,8.85001E+12,,0,,,,
Category 5,Clinic Pls SHMP 175 ML,Clinic Pls SHMP 175 ML,8.90103E+12,,0,,,,
Category 5,Snslk Shmp AD 200 ML,Snslk Shmp AD 200 ML,8.96101E+12,231,0,,,,
Category 5,Lifebuoy Shmp Hrbl 90 ML,Lifebuoy Shmp Hrbl 90 ML,8.96101E+12,,0,,,,
Category 5,Snslk Cndtnr S&S 180 ML,Snslk Cndtnr S&S 180 ML,8.96101E+12,206,0,,,,
Category 5,Snslk Cndtnr HFS 180 ML,Snslk Cndtnr HFS 180 ML,8.96101E+12,203,0,,,,
Category 5,Snslk Conditioner PS 180 ML,Snslk Conditioner PS 180 ML,8.96101E+12,201,0,,,,
Category 5,Dove Conditioner S&S 180 ML,Dove Conditioner S&S 180 ML,8.96101E+12,195,0,,,,
Category 5,Dove Conditioner H/Fall 180 ML,Dove Conditioner H/Fall 180 ML,8.96101E+12,,0,,,,
Category 5,Clear Shmp S&S 200 ML,Clear Shmp S&S 200 ML,8.96101E+12,239,0,,,,
Category 5,Clear Shmp HFD 200 ML,Clear Shmp HFD 200 ML,8.96101E+12,234,0,,,,
Category 5,Clear Shmp CMPLT 200ML,Clear Shmp CMPLT 200ML,8.96101E+12,240,0,,,,
Category 5,Snslk Cndtnr Ref 180ML,Snslk Cndtnr Ref 180ML,8.96101E+12,199,0,,,,
Category 5,Clear Shmp Icecol Mnth 200 ML,Clear Shmp Icecol Mnth 200 ML,8.96101E+12,240,0,,,,
Category 5,Dove Shmp IR 175 ML,Dove Shmp IR 175 ML,8.96101E+12,,0,,,,
Category 5,Dove Shmp HF 175 ML,Dove Shmp HF 175 ML,8.96101E+12,,0,,,,
Category 5,Snslk Shmp Blk 90 ML,Snslk Shmp Blk 90 ML,8.96101E+12,,0,,,,
Category 5,Garnier C/Naturals Black 1,Garnier C/Naturals Black 1,8.964E+12,154,0,,,,
Category 5,Color Naturals D-Brown 3,Color Naturals D-Brown 3,8.964E+12,144,0,,,,
Category 5,GARN Clrnat Deep Red Brn 3.6,GARN Clrnat Deep Red Brn 3.6,8.964E+12,176,0,,,,
Category 5,Color Naturals Brown 4,Color Naturals Brown 4,8.964E+12,148,0,,,,
Category 5,Color Naturlas Brgndy Red 4.6,Color Naturlas Brgndy Red 4.6,8.964E+12,148,0,,,,
Category 5,Grnr Clr/Naturals L/Brown 5,Grnr Clr/Naturals L/Brown 5,8.964E+12,163,0,,,,
Category 5,Garnier C.N Light GB 5.3,Garnier C.N Light GB 5.3,8.964E+12,145,0,,,,
