"Category (S)","Title (S)","ShortTitle (S)","ProductID (S)","Weight (N)","Price (N)","Discounted Price (N)","Image (S)","Description (S)","Catalog Weight (S)"
"Category 1","Robin Liquid bleach 500ml","Robin Liquid bleach 500ml","6001106309985","","158.12","","","",""
"Category 1","surf excel matic tl 500g","surf excel matic tl 500g","8961014008081","","133.3","","","",""
"Category 1","cmfrt fb sftnr blu200ml","cmfrt fb sftnr blu200ml","8934868058441","","131.27","","","",""
"Category 1","cmftr fb sftnr pnk 200ml","cmftr fb sftnr pnk 200ml","8934868058472","","131.27","","","",""
"Category 1","softlan pink fs 500ml","softlan pink fs 500ml","8886950018058","","128.21","","","",""
"Category 1","robin liquid neel 75ml","robin liquid neel 75ml","6001106309718","","55.56","","","",""
"Category 1","bonus tristar cp tl 475g","bonus tristar cp tl 475g","8886950013213","","41.73","","","",""
"Category 1","surf excel top load 500g","surf excel top load 500g","8961014236453","","113.93","","","",""
"Category 1","sunlight tp pink 450g","sunlight tp pink 450g","8961014236125","","51.28","","","",""
"Category 1","sunlight tp green 450g","sunlight tp green 450g","8961014009965","","51.28","","","",""
"Category 1","sunlight tp rose 450g","sunlight tp rose 450g","8961014236149","","51.28","","","",""
"Category 1","","","8964000639658","","","","","",""
"Category 1","","","718122103614","","","","","",""
"Category 1","ariel top load 500g","ariel top load 500g","5410076493272","","117.2","","","",""
"Category 1","comfrt fab sft M fresh 400ml","comfrt fab sft M fresh 400ml","8934868122845","","192.53","","","",""
"Category 1","cmftrt fab sft lil frsh 400ml","cmftrt fab sft lil frsh 400ml","8934868122838","","192.53","","","",""
"Category 1","Astonish stain rmvr bar 750g","Astonish stain rmvr bar 750g","5060060211636","","190.92","","","",""
"Category 1","brite tl machne wsh 500g","brite tl machne wsh 500g","8886950011530","","137.3","","","",""
"Category 1","brite tl ant bctria 500g","brite tl ant bctria 500g","8886950011318","","123.93","","","",""
"Category 1","express power det 400g","express power det 400g","8886950012070","","57.1","","","",""
"Category 1","chamak weel 100ml","chamak weel 100ml","718122103613","","24.79","","","",""
"Category 1","softlan pink pouch 600ml","softlan pink pouch 600ml","8886950018089","","82.61","","","",""
"Category 1","ok laundary soap 200g x4","ok laundary soap 200g x4","8964001107750","","89.75","","","",""
"Category 1","ok laundary soap single","ok laundary soap single","8964001107767","","17.1","","","",""
"Category 1","gai soap reg 375g x2","gai soap reg 375g x2","8964000100059","","23.51","","","",""
"Category 1","hangers plastic grey x6","hangers plastic grey x6","21051838","","28.35","","","",""
"Category 1","hangers steel x6","hangers steel x6","21499708","","85.33","","","",""
"Category 1","hangers plastic right x6","hangers plastic right x6","8697542224227","","49.72","","","",""
"Category 1","hange rs baby plastic x6","hange rs baby plastic x6","8694000639658","","24.07","","","",""
"Category 1","hangers plastic premid x6","hangers plastic premid x6","8964000639689","","49.72","","","",""
"Category 1","cloth hanger clip","cloth hanger clip","22705709","","127.35","","","",""
"Category 1","baby hanger plastic","baby hanger plastic","22705754","","298.29","","","",""
"Category 1","plastic hanger 3pcs","plastic hanger 3pcs","22705792","","341.03","","","",""
"Category 1","zyb-23 hangers 5pcs","zyb-23 hangers 5pcs","22870889","","426.5","","","",""
"Category 2","Metro Carry Bag 18*22","Metro Carry Bag 18*22","223360","","0.85","","","",""
"Category 2","Rite Biscuit Half Roll x6","Rite Biscuit Half Roll x6","870572005884","","89","","","",""
"Category 2","Rio Vanilla Half Roll x6","Rio Vanilla Half Roll x6","8964000681169","","100.02","","","",""
"Category 2","Choco Chip Half Roll Box","Choco Chip Half Roll Box","870572009516","","89","","","",""
"Category 2","Tiger Ticky Pack Box","Tiger Ticky Pack Box","8961003031526","","109","","","",""
"Category 2","Jam Heart Van Half Roll Box","Jam Heart Van Half Roll Box","671866129800","","88","","","",""
"Category 2","Jam Heart Choc Half Roll Box","Jam Heart Choc Half Roll Box","671866129824","","88","","","",""
"Category 2","Bravo Mini Snack Box","Bravo Mini Snack Box","671866129923","","59","","","",""
"Category 2","Zeera Plus Family Pack","Zeera Plus Family Pack","8961003011016","","39","","","",""
"Category 2","Jam Heart S&V Ticky Pack Box","Jam Heart S&V Ticky Pack Box","671866129831","","118","","","",""
"Category 2","LU Oreo Snack Pack Box","LU Oreo Snack Pack Box","8961003036019","","109","","","",""
"Category 2","Bakeri Bistik Mini Snack Box","Bakeri Bistik Mini Snack Box","8961003031724","","119","","","",""
"Category 2","Bakeri Butter Mini Snack Box","Bakeri Butter Mini Snack Box","8961003564123","","119","","","",""
"Category 2","Choclatto Half Roll Box","Choclatto Half Roll Box","870572001725","","109","","","",""
"Category 2","Gala Egg Half Roll Box","Gala Egg Half Roll Box","8961003030529","","102","","","",""
"Category 2","Zeera Plus Half Roll Box","Zeera Plus Half Roll Box","8961003031021","","99","","","",""
"Category 2","Bakeri Coconut Half Roll Box","Bakeri Coconut Half Roll Box","8961003031731","","91.98","","","",""
"Category 2","Nan Khatai Half Roll Box","Nan Khatai Half Roll Box","8961003031793","","102","","","",""
"Category 2","Prince Choc Half Roll Box","Prince Choc Half Roll Box","8961003030116","","102","","","",""
"Category 2","Lu Tuc Half Roll Box","Lu Tuc Half Roll Box","8961003030215","","99","","","",""
"Category 2","Milkabisk Half Roll Box","Milkabisk Half Roll Box","8964000784549","","76.92","","","",""
"Category 2","Choco Chip Mini Snack Box","Choco Chip Mini Snack Box","8964000474204","","101.71","","","",""
"Category 2","Jam Delight Half Roll Box","Jam Delight Half Roll Box","8964000685907","","100.98","","","",""
"Category 2","Whistlez Suji Half Roll x6","Whistlez Suji Half Roll x6","8964001188254","","90","","","",""
